Title,Price,Character,URL
"CardGuard Trading Card Pro-Folio, 9-Pocket Side-Loading Pages,, Red",$14.99,,https://amazon.com//CardGuard-Trading-Pro-Folio-9-Pocket-Side-Loading/dp/B084BKTZ4T/ref=sr_1_16?crid=3J38Z44WZWYDW&keywords=1992+Marvel+Masterpieces+Wolverine&qid=1676841056&sprefix=1992+marvel+%2Caps%2C596&sr=8-16
1994 Marvel Masterpieces Series III Base Set of 140 Cards NM/M Hildebrandt Bros.,$84.95,,https://amazon.com//Marvel-Masterpieces-Cards-Hildebrandt-Bros/dp/B07CR2JNKR/ref=sr_1_17?crid=3J38Z44WZWYDW&keywords=1992+Marvel+Masterpieces+Wolverine&qid=1676841056&sprefix=1992+marvel+%2Caps%2C596&sr=8-17
2007 SP Authentic Sign of the TImes AUTO Jordan Kobe Magic LeBron Dr J Garnett AUTO #LBEJJB Facsimile Autograph Reprint,$12.95,,https://amazon.com//Authentic-Garnett-Facsimile-Autograph-Reprint/dp/B09279827S/ref=sr_1_18?crid=3J38Z44WZWYDW&keywords=1992+Marvel+Masterpieces+Wolverine&qid=1676841056&sprefix=1992+marvel+%2Caps%2C596&sr=8-18
Wolverine Titan Hero Series Action Figure Assortment,$11.93,"<span class=""a-size-base-plus a-color-base a-text-normal"">Wolverine Titan Hero Series Action Figure Assortment</span>",https://amazon.com//Marvel-Wolverine-Titan-Hero-Figure/dp/B00BU9C22E/ref=sr_1_19?crid=3J38Z44WZWYDW&keywords=1992+Marvel+Masterpieces+Wolverine&qid=1676841056&sprefix=1992+marvel+%2Caps%2C596&sr=8-19
1992 Impel Marvel Universe NonSport #77 Wolverine and Cable Official Trading Card From Skybox in Raw (EX-MT or Better) Condition,$2.99,"<span class=""a-size-base-plus a-color-base a-text-normal"">1992 Impel Marvel Universe NonSport #77 Wolverine and Cable Official Trading Card From Skybox in Raw (EX-MT or Better) Condition</span>",https://amazon.com//Universe-NonSport-Wolverine-Official-Trading/dp/B07Z8PCP4V/ref=sr_1_20?crid=3J38Z44WZWYDW&keywords=1992+Marvel+Masterpieces+Wolverine&qid=1676841056&sprefix=1992+marvel+%2Caps%2C596&sr=8-20
LEGO Marvel Super Heroes Venom 76187 Building Set for Adults (565 Pieces),$62.99,,https://amazon.com//LEGO-Spider-Man-Collectible-Model-Building-Enthusiasts/dp/B08NFDK64Q/ref=sr_1_21?crid=3J38Z44WZWYDW&keywords=1992+Marvel+Masterpieces+Wolverine&qid=1676841056&sprefix=1992+marvel+%2Caps%2C596&sr=8-21
Ultra Pro Platinum Series 9-Pocket Pages for Trading Cards (50 ct.),$15.69,,https://amazon.com//Ultra-Pro-Platinum-9-Pocket-Trading/dp/B07RRCVV9H/ref=sr_1_22?crid=3J38Z44WZWYDW&keywords=1992+Marvel+Masterpieces+Wolverine&qid=1676841056&sprefix=1992+marvel+%2Caps%2C596&sr=8-22
"TitanShield Premium Clear Card Sleeves for Standard Sized Board Games and Trading Card 2.5"" x 3.5"" (150 Sleeves)",$11.99,,https://amazon.com//TitanShield-Standard-Protector-Gathering-Collection/dp/B072ZY1H1X/ref=sr_1_23?crid=3J38Z44WZWYDW&keywords=1992+Marvel+Masterpieces+Wolverine&qid=1676841056&sprefix=1992+marvel+%2Caps%2C596&sr=8-23
1993 Marvel Masterpieces Non Sport Trading Cards Box,$349.99,,https://amazon.com//Marvel-Masterpieces-Sport-Trading-Cards/dp/B000BQVWC8/ref=sr_1_24?crid=3J38Z44WZWYDW&keywords=1992+Marvel+Masterpieces+Wolverine&qid=1676841056&sprefix=1992+marvel+%2Caps%2C596&sr=8-24
The Return of Superman Trading Cards Pack,$7.99,,https://amazon.com//Return-Superman-Trading-Cards-Pack/dp/B0012N0FXQ/ref=sr_1_25?crid=3J38Z44WZWYDW&keywords=1992+Marvel+Masterpieces+Wolverine&qid=1676841056&sprefix=1992+marvel+%2Caps%2C596&sr=8-25
